m,TagName,
6/1/10,swift,2
6/1/10,r,178
7/1/10,c,1288
7/1/10,c#,6687
7/1/10,php,4610
7/1/10,delphi,334
7/1/10,java,4522
7/1/10,javascript,3874
7/1/10,assembly,98
7/1/10,go,8
7/1/10,r,234
7/1/10,c++,2690
7/1/10,perl,437
7/1/10,python,2596
7/1/10,swift,1
7/1/10,ruby,911
8/1/10,javascript,4001
8/1/10,java,4712
8/1/10,c#,6965
8/1/10,go,13
8/1/10,php,5148
8/1/10,assembly,86
8/1/10,c++,2638
8/1/10,c,1371
8/1/10,ruby,995
8/1/10,perl,548
8/1/10,swift,2
8/1/10,r,283
8/1/10,python,2494
8/1/10,delphi,354
9/1/10,assembly,117
9/1/10,javascript,3999
9/1/10,java,4723
9/1/10,python,2252
9/1/10,delphi,319
9/1/10,c++,2744
9/1/10,c,1382
9/1/10,c#,6405
9/1/10,perl,460
9/1/10,php,4703
9/1/10,go,9
9/1/10,ruby,938
9/1/10,r,236
9/1/10,swift,1
10/1/10,javascript,4119
10/1/10,delphi,361
10/1/10,c,1444
10/1/10,assembly,123
10/1/10,c#,6745
10/1/10,python,2672
10/1/10,go,13
10/1/10,perl,500
10/1/10,php,4523
10/1/10,java,5033
10/1/10,c++,2934
10/1/10,r,214
10/1/10,ruby,926
10/1/10,swift,1
11/1/10,java,5603
11/1/10,assembly,164
11/1/10,c,1676
11/1/10,delphi,390
11/1/10,javascript,4545
11/1/10,perl,466
11/1/10,c++,3374
11/1/10,c#,7324
11/1/10,r,242
11/1/10,php,5125
11/1/10,ruby,929
11/1/10,go,16
11/1/10,swift,1
11/1/10,python,2611
12/1/10,c#,7117
12/1/10,c++,3139
12/1/10,python,2484
12/1/10,assembly,123
12/1/10,java,5682
12/1/10,c,1469
12/1/10,go,18
12/1/10,javascript,4948
12/1/10,delphi,321
12/1/10,ruby,1022
12/1/10,perl,501
12/1/10,swift,2
12/1/10,php,5400
12/1/10,r,223
1/1/11,c,1462
1/1/11,delphi,370
1/1/11,assembly,134
1/1/11,c#,7994
1/1/11,java,6546
1/1/11,go,15
1/1/11,perl,480
1/1/11,javascript,5428
1/1/11,r,250
1/1/11,c++,3501
1/1/11,php,6444
1/1/11,python,2907
1/1/11,swift,3
1/1/11,ruby,1204
2/1/11,javascript,5589
2/1/11,java,6876
2/1/11,c#,8233
2/1/11,go,16
2/1/11,php,6723
2/1/11,assembly,145
2/1/11,c++,3449
2/1/11,c,1641
2/1/11,ruby,1253
2/1/11,perl,483
2/1/11,swift,3
2/1/11,r,322
2/1/11,python,3017
2/1/11,delphi,360
3/1/11,php,8128
3/1/11,assembly,192
3/1/11,python,3751
3/1/11,javascript,6767
3/1/11,c#,9998
3/1/11,c,2109
3/1/11,ruby,1639
3/1/11,c++,4182
3/1/11,delphi,518
3/1/11,java,8482
3/1/11,swift,3
3/1/11,perl,604
3/1/11,go,3
3/1/11,r,422
4/1/11,java,7903
4/1/11,delphi,402
4/1/11,perl,553
4/1/11,c#,9288
4/1/11,c,2042
4/1/11,php,7675
4/1/11,assembly,158
4/1/11,c++,4171
4/1/11,javascript,6880
4/1/11,go,7
4/1/11,r,476
4/1/11,ruby,1477
4/1/11,python,3348
4/1/11,swift,3
5/1/11,c++,3889
5/1/11,assembly,158
5/1/11,c#,10038
5/1/11,java,8576
5/1/11,javascript,7311
5/1/11,delphi,477
5/1/11,go,37
5/1/11,c,1826
5/1/11,ruby,1565
5/1/11,php,8121
5/1/11,swift,1
5/1/11,perl,582
5/1/11,python,3522
5/1/11,r,427
6/1/11,python,3475
6/1/11,c#,9781
6/1/11,assembly,140
6/1/11,javascript,7693
6/1/11,c,1767
6/1/11,c++,3817
6/1/11,perl,570
6/1/11,ruby,1560
6/1/11,delphi,456
6/1/11,java,7926
6/1/11,php,8068
6/1/11,swift,3
6/1/11,go,34
6/1/11,r,444
7/1/11,c#,9620
7/1/11,javascript,8113
7/1/11,java,8172
7/1/11,go,26
7/1/11,c++,3853
7/1/11,php,8728
7/1/11,assembly,141
7/1/11,c,1660
7/1/11,ruby,1583
7/1/11,r,454
7/1/11,perl,661
7/1/11,delphi,430
7/1/11,swift,12
7/1/11,python,3667
8/1/11,assembly,159
8/1/11,go,40
8/1/11,python,3835
8/1/11,javascript,8907
8/1/11,delphi,424
8/1/11,c,1823
8/1/11,c#,10090
8/1/11,c++,3955
8/1/11,java,8703
8/1/11,php,8975
8/1/11,perl,616
8/1/11,ruby,1860
8/1/11,r,586
8/1/11,swift,8
9/1/11,c,1918
9/1/11,python,3522
9/1/11,javascript,8207
9/1/11,delphi,414
9/1/11,assembly,155
9/1/11,ruby,1552
9/1/11,java,8348
9/1/11,c#,9323
9/1/11,c++,3949
9/1/11,swift,6
9/1/11,r,612
9/1/11,php,8106
9/1/11,perl,500
9/1/11,go,26
10/1/11,java,8577
10/1/11,assembly,213
10/1/11,delphi,465
10/1/11,c++,4357
10/1/11,javascript,8045
10/1/11,perl,560
10/1/11,c#,9239
10/1/11,c,2140
10/1/11,go,40
10/1/11,php,8102
10/1/11,r,621
10/1/11,python,3631
10/1/11,ruby,1618
10/1/11,swift,6
11/1/11,assembly,211
11/1/11,javascript,8691
11/1/11,java,9665
11/1/11,c#,9926
11/1/11,delphi,507
11/1/11,c++,4490
11/1/11,c,2202
11/1/11,go,66
11/1/11,php,8721
11/1/11,ruby,1741
11/1/11,perl,610
11/1/11,swift,3
11/1/11,python,3877
11/1/11,r,607
12/1/11,java,9227
12/1/11,php,8377
12/1/11,c#,9338
12/1/11,delphi,574
12/1/11,c,2008
12/1/11,assembly,227
12/1/11,javascript,8347
12/1/11,go,52
12/1/11,r,614
12/1/11,perl,542
12/1/11,c++,4366
12/1/11,python,3627
12/1/11,swift,2
12/1/11,ruby,1690
1/1/12,java,10164
1/1/12,javascript,9616
1/1/12,c#,10477
1/1/12,go,37
1/1/12,assembly,170
1/1/12,php,9362
1/1/12,c++,4553
1/1/12,c,2234
1/1/12,perl,569
1/1/12,r,690
1/1/12,ruby,1910
1/1/12,delphi,514
1/1/12,python,4212
1/1/12,swift,6
2/1/12,assembly,233
2/1/12,javascript,10001
2/1/12,python,4498
2/1/12,java,10981
2/1/12,delphi,472
2/1/12,c++,5115
2/1/12,c#,10778
2/1/12,c,2412
2/1/12,php,9984
2/1/12,perl,615
2/1/12,ruby,2051
2/1/12,go,31
2/1/12,swift,9
2/1/12,r,813
3/1/12,delphi,499
3/1/12,c++,5246
3/1/12,java,12425
3/1/12,assembly,261
3/1/12,c#,11621
3/1/12,c,2739
3/1/12,javascript,10718
3/1/12,php,10937
3/1/12,go,47
3/1/12,perl,609
3/1/12,python,5049
3/1/12,r,889
3/1/12,ruby,2196
3/1/12,swift,4
4/1/12,delphi,482
4/1/12,java,12070
4/1/12,assembly,275
4/1/12,php,10470
4/1/12,c,2671
4/1/12,c++,5316
4/1/12,perl,602
4/1/12,c#,11152
4/1/12,python,4932
4/1/12,javascript,10702
4/1/12,r,843
4/1/12,go,69
4/1/12,ruby,1975
4/1/12,swift,5
5/1/12,assembly,227
5/1/12,c++,4992
5/1/12,c#,11605
5/1/12,java,12214
5/1/12,delphi,481
5/1/12,javascript,11540
5/1/12,go,69
5/1/12,c,2485
5/1/12,perl,649
5/1/12,ruby,1980
5/1/12,php,10982
5/1/12,r,876
5/1/12,swift,6
5/1/12,python,5111
6/1/12,java,11142
6/1/12,go,72
6/1/12,c#,11342
6/1/12,javascript,11265
6/1/12,assembly,203
6/1/12,c,2316
6/1/12,c++,4663
6/1/12,php,10630
6/1/12,python,5286
6/1/12,perl,745
6/1/12,ruby,1891
6/1/12,delphi,418
6/1/12,swift,4
6/1/12,r,974
7/1/12,delphi,442
7/1/12,assembly,201
7/1/12,c++,5289
7/1/12,c,2374
7/1/12,c#,12347
7/1/12,java,12274
7/1/12,python,5738
7/1/12,go,76
7/1/12,javascript,12323
7/1/12,perl,668
7/1/12,swift,6
7/1/12,r,1121
7/1/12,php,11797
7/1/12,ruby,2066
8/1/12,php,11943
8/1/12,assembly,189
8/1/12,c#,11973
8/1/12,go,72
8/1/12,c++,5167
8/1/12,delphi,403
8/1/12,python,5872
8/1/12,c,2322
8/1/12,javascript,12448
8/1/12,perl,769
8/1/12,ruby,2063
8/1/12,java,12275
8/1/12,swift,4
8/1/12,r,1090
9/1/12,javascript,11172
9/1/12,c,2533
9/1/12,c#,11290
9/1/12,assembly,225
9/1/12,java,11635
9/1/12,c++,4917
9/1/12,delphi,385
9/1/12,php,11030
9/1/12,go,130
9/1/12,perl,671
9/1/12,python,5260
9/1/12,r,1060
9/1/12,ruby,1960
9/1/12,swift,7
10/1/12,c#,12741
10/1/12,delphi,478
10/1/12,c++,5918
10/1/12,go,101
10/1/12,javascript,12428
10/1/12,assembly,315
10/1/12,c,3155
10/1/12,python,6138
10/1/12,java,13517
10/1/12,php,11840
10/1/12,swift,4
10/1/12,perl,693
10/1/12,r,1266
10/1/12,ruby,2262
11/1/12,java,13632
11/1/12,assembly,303
11/1/12,c++,6280
11/1/12,c#,12247
11/1/12,c,3198
11/1/12,delphi,444
11/1/12,javascript,12357
11/1/12,go,104
11/1/12,r,1346
11/1/12,perl,640
11/1/12,ruby,2134
11/1/12,php,11837
11/1/12,python,6403
11/1/12,swift,2
12/1/12,java,12451
12/1/12,delphi,429
12/1/12,assembly,264
12/1/12,c#,10966
12/1/12,c,2573
12/1/12,python,5765
12/1/12,go,113
12/1/12,c++,5692
12/1/12,javascript,11751
12/1/12,ruby,1906
12/1/12,php,11127
12/1/12,swift,3
12/1/12,perl,558
12/1/12,r,1216
1/1/13,java,13753
1/1/13,c#,12804
1/1/13,c,2913
1/1/13,c++,6055
1/1/13,assembly,297
1/1/13,delphi,484
1/1/13,go,101
1/1/13,python,6590
1/1/13,perl,668
1/1/13,javascript,13807
1/1/13,r,1511
1/1/13,swift,5
1/1/13,php,12937
1/1/13,ruby,2310
2/1/13,php,12650
2/1/13,assembly,322
2/1/13,c#,12546
2/1/13,go,117
2/1/13,c++,6081
2/1/13,delphi,449
2/1/13,python,6755
2/1/13,c,3102
2/1/13,javascript,13671
2/1/13,perl,755
2/1/13,ruby,2226
2/1/13,java,13757
2/1/13,swift,5
2/1/13,r,1664
3/1/13,delphi,523
3/1/13,assembly,365
3/1/13,go,127
3/1/13,java,15971
3/1/13,c#,14289
3/1/13,c,3453
3/1/13,ruby,2567
3/1/13,c++,7200
3/1/13,php,14242
3/1/13,perl,862
3/1/13,swift,5
3/1/13,javascript,15353
3/1/13,python,7650
3/1/13,r,1853
4/1/13,c#,13960
4/1/13,go,125
4/1/13,python,7965
4/1/13,c++,7171
4/1/13,java,16310
4/1/13,assembly,333
4/1/13,c,3549
4/1/13,perl,853
4/1/13,javascript,15415
4/1/13,delphi,517
4/1/13,ruby,2472
4/1/13,r,1843
4/1/13,swift,6
4/1/13,php,13540
5/1/13,javascript,15106
5/1/13,java,15359
5/1/13,c#,13532
5/1/13,c,3202
5/1/13,php,13224
5/1/13,assembly,301
5/1/13,c++,6864
5/1/13,go,143
5/1/13,ruby,2348
5/1/13,python,7839
5/1/13,swift,1
5/1/13,delphi,539
5/1/13,perl,920
5/1/13,r,1787
6/1/13,delphi,474
6/1/13,java,14003
6/1/13,assembly,299
6/1/13,c#,12835
6/1/13,c,2955
6/1/13,c++,6210
6/1/13,perl,851
6/1/13,python,7618
6/1/13,go,176
6/1/13,javascript,14660
6/1/13,php,12835
6/1/13,ruby,2229
6/1/13,r,1780
6/1/13,swift,3
7/1/13,c++,6593
7/1/13,assembly,299
7/1/13,go,200
7/1/13,c#,14245
7/1/13,php,14466
7/1/13,delphi,509
7/1/13,c,3028
7/1/13,python,8642
7/1/13,javascript,16893
7/1/13,perl,984
7/1/13,java,15263
7/1/13,ruby,2448
7/1/13,r,1978
7/1/13,swift,7
8/1/13,javascript,16893
8/1/13,assembly,214
8/1/13,c,3015
8/1/13,c#,13899
8/1/13,java,15122
8/1/13,php,14460
8/1/13,c++,6267
8/1/13,delphi,450
8/1/13,perl,853
8/1/13,python,7960
8/1/13,r,1926
8/1/13,go,208
8/1/13,ruby,2490
8/1/13,swift,3
9/1/13,java,16330
9/1/13,delphi,489
9/1/13,assembly,293
9/1/13,php,14384
9/1/13,c++,6581
9/1/13,c#,13809
9/1/13,c,3406
9/1/13,go,237
9/1/13,javascript,17796
9/1/13,ruby,2396
9/1/13,perl,706
9/1/13,swift,10
9/1/13,python,7989
9/1/13,r,1717
10/1/13,assembly,381
10/1/13,c++,8005
10/1/13,java,18816
10/1/13,c#,15248
10/1/13,delphi,525
10/1/13,javascript,19827
10/1/13,c,4248
10/1/13,go,212
10/1/13,perl,839
10/1/13,ruby,2792
10/1/13,r,2102
10/1/13,swift,9
10/1/13,php,15484
10/1/13,python,9522
11/1/13,java,18846
11/1/13,c#,14654
11/1/13,go,210
11/1/13,javascript,18586
11/1/13,assembly,419
11/1/13,c++,8164
11/1/13,c,4300
11/1/13,php,15047
11/1/13,python,9522
11/1/13,ruby,2579
11/1/13,perl,838
11/1/13,swift,5
11/1/13,delphi,462
11/1/13,r,2192
12/1/13,assembly,358
12/1/13,delphi,450
12/1/13,c++,7036
12/1/13,c,3509
12/1/13,java,17536
12/1/13,c#,13679
12/1/13,python,8492
12/1/13,go,240
12/1/13,perl,782
12/1/13,javascript,18109
12/1/13,swift,9
12/1/13,r,1911
12/1/13,ruby,2452
12/1/13,php,14577
1/1/14,php,16982
1/1/14,c#,15394
1/1/14,go,303
1/1/14,assembly,339
1/1/14,c++,7717
1/1/14,python,9864
1/1/14,c,3748
1/1/14,delphi,493
1/1/14,javascript,21202
1/1/14,perl,825
1/1/14,java,18767
1/1/14,ruby,2773
1/1/14,r,2357
1/1/14,swift,5
2/1/14,javascript,21267
2/1/14,assembly,375
2/1/14,c,3985
2/1/14,c#,15172
2/1/14,java,19378
2/1/14,php,16739
2/1/14,c++,7707
2/1/14,delphi,492
2/1/14,perl,816
2/1/14,python,9939
2/1/14,r,2621
2/1/14,go,205
2/1/14,ruby,2616
2/1/14,swift,12
3/1/14,assembly,455
3/1/14,c#,16265
3/1/14,python,11468
3/1/14,c++,8701
3/1/14,go,255
3/1/14,java,22109
3/1/14,delphi,441
3/1/14,c,4586
3/1/14,perl,940
3/1/14,javascript,22786
3/1/14,php,18564
3/1/14,ruby,2957
3/1/14,r,2823
3/1/14,swift,4
4/1/14,c,4030
4/1/14,perl,842
4/1/14,c#,15402
4/1/14,delphi,393
4/1/14,java,21020
4/1/14,assembly,364
4/1/14,javascript,21573
4/1/14,go,342
4/1/14,r,2744
4/1/14,php,17908
4/1/14,c++,8162
4/1/14,python,10812
4/1/14,swift,4
4/1/14,ruby,2753
5/1/14,java,18088
5/1/14,delphi,475
5/1/14,c,3284
5/1/14,python,9301
5/1/14,c++,6827
5/1/14,c#,13992
5/1/14,assembly,333
5/1/14,ruby,2684
5/1/14,javascript,19923
5/1/14,go,280
5/1/14,swift,9
5/1/14,perl,819
5/1/14,r,2595
5/1/14,php,14984
6/1/14,java,16016
6/1/14,delphi,415
6/1/14,javascript,18428
6/1/14,python,8954
6/1/14,assembly,273
6/1/14,c#,12599
6/1/14,c,2784
6/1/14,c++,5710
6/1/14,perl,702
6/1/14,php,13212
6/1/14,r,2404
6/1/14,ruby,2341
6/1/14,go,288
6/1/14,swift,2413
7/1/14,javascript,20259
7/1/14,c++,6309
7/1/14,c#,13773
7/1/14,assembly,217
7/1/14,java,17466
7/1/14,c,2848
7/1/14,delphi,446
7/1/14,php,14471
7/1/14,go,454
7/1/14,perl,756
7/1/14,python,9974
7/1/14,r,2646
7/1/14,ruby,2566
7/1/14,swift,1646
8/1/14,delphi,426
8/1/14,java,15837
8/1/14,assembly,183
8/1/14,c#,12578
8/1/14,c,2690
8/1/14,c++,5916
8/1/14,perl,701
8/1/14,go,405
8/1/14,python,9149
8/1/14,javascript,18583
8/1/14,r,2486
8/1/14,php,13372
8/1/14,swift,1703
8/1/14,ruby,2480
9/1/14,c#,12407
9/1/14,assembly,288
9/1/14,c++,6241
9/1/14,python,8807
9/1/14,java,16820
9/1/14,go,392
9/1/14,c,3247
9/1/14,delphi,447
9/1/14,javascript,18235
9/1/14,perl,698
9/1/14,ruby,2282
9/1/14,php,13521
9/1/14,swift,1907
9/1/14,r,2380
10/1/14,c#,12640
10/1/14,javascript,19017
10/1/14,java,18010
10/1/14,go,383
10/1/14,c++,6878
10/1/14,php,13782
10/1/14,assembly,391
10/1/14,c,3819
10/1/14,ruby,2346
10/1/14,perl,660
10/1/14,python,9626
10/1/14,delphi,411
10/1/14,swift,2469
10/1/14,r,2790
11/1/14,java,17956
11/1/14,delphi,430
11/1/14,assembly,389
11/1/14,c#,11944
11/1/14,c++,6596
11/1/14,python,9612
11/1/14,c,3692
11/1/14,ruby,2120
11/1/14,javascript,18069
11/1/14,perl,665
11/1/14,swift,2570
11/1/14,go,338
11/1/14,php,13185
11/1/14,r,2713
12/1/14,c++,6113
12/1/14,assembly,329
12/1/14,c#,11167
12/1/14,go,351
12/1/14,php,12513
12/1/14,delphi,317
12/1/14,python,9078
12/1/14,c,3164
12/1/14,javascript,17082
12/1/14,perl,579
12/1/14,ruby,2156
12/1/14,java,16470
12/1/14,swift,2501
12/1/14,r,2369
1/1/15,javascript,18621
1/1/15,c,3222
1/1/15,c#,11823
1/1/15,assembly,333
1/1/15,java,16639
1/1/15,c++,6172
1/1/15,delphi,383
1/1/15,php,13773
1/1/15,go,470
1/1/15,perl,606
1/1/15,python,9730
1/1/15,r,2704
1/1/15,ruby,2437
1/1/15,swift,3070
2/1/15,delphi,416
2/1/15,java,16827
2/1/15,assembly,359
2/1/15,php,13627
2/1/15,c,3380
2/1/15,c++,6495
2/1/15,perl,572
2/1/15,c#,11852
2/1/15,python,10230
2/1/15,javascript,18747
2/1/15,r,2980
2/1/15,go,384
2/1/15,ruby,2261
2/1/15,swift,3247
3/1/15,assembly,390
3/1/15,javascript,20626
3/1/15,c,3925
3/1/15,delphi,412
3/1/15,perl,664
3/1/15,c#,13322
3/1/15,java,19850
3/1/15,go,469
3/1/15,php,15062
3/1/15,python,11653
3/1/15,r,3573
3/1/15,c++,7410
3/1/15,ruby,2466
3/1/15,swift,3607
4/1/15,php,15124
4/1/15,java,19890
4/1/15,c++,7164
4/1/15,c,3966
4/1/15,javascript,20991
4/1/15,assembly,442
4/1/15,c#,13151
4/1/15,go,391
4/1/15,python,11488
4/1/15,perl,587
4/1/15,ruby,2510
4/1/15,delphi,391
4/1/15,swift,4032
4/1/15,r,3335
5/1/15,java,18605
5/1/15,delphi,400
5/1/15,c++,6843
5/1/15,javascript,22240
5/1/15,assembly,372
5/1/15,c#,13430
5/1/15,python,11251
5/1/15,c,3531
5/1/15,r,3435
5/1/15,php,14705
5/1/15,ruby,2510
5/1/15,go,396
5/1/15,perl,538
5/1/15,swift,3813
6/1/15,delphi,388
6/1/15,javascript,22694
6/1/15,perl,594
6/1/15,java,17919
6/1/15,assembly,266
6/1/15,c#,13594
6/1/15,r,3438
6/1/15,c,3175
6/1/15,python,11841
6/1/15,php,14492
6/1/15,go,423
6/1/15,c++,6534
6/1/15,ruby,2583
6/1/15,swift,4339
7/1/15,delphi,385
7/1/15,java,18761
7/1/15,go,468
7/1/15,assembly,260
7/1/15,c#,14179
7/1/15,c++,6729
7/1/15,ruby,2587
7/1/15,c,2821
7/1/15,php,15526
7/1/15,javascript,24075
7/1/15,perl,592
7/1/15,swift,5160
7/1/15,python,12364
7/1/15,r,3987
8/1/15,c#,13289
8/1/15,assembly,217
8/1/15,python,11258
8/1/15,c++,5893
8/1/15,java,17139
8/1/15,go,449
8/1/15,c,2586
8/1/15,delphi,388
8/1/15,javascript,22213
8/1/15,r,3497
8/1/15,ruby,2321
8/1/15,perl,567
8/1/15,swift,5098
8/1/15,php,14364
9/1/15,c,3091
9/1/15,delphi,359
9/1/15,perl,486
9/1/15,javascript,21486
9/1/15,java,17003
9/1/15,go,426
9/1/15,assembly,257
9/1/15,c#,12958
9/1/15,r,3338
9/1/15,python,10999
9/1/15,php,13623
9/1/15,c++,5928
9/1/15,ruby,2167
9/1/15,swift,4566
10/1/15,delphi,422
10/1/15,java,18603
10/1/15,c,3689
10/1/15,c#,12842
10/1/15,assembly,432
10/1/15,c++,7066
10/1/15,go,429
10/1/15,python,12529
10/1/15,perl,517
10/1/15,javascript,21891
10/1/15,r,3690
10/1/15,ruby,2197
10/1/15,php,14021
10/1/15,swift,4316
11/1/15,java,17836
11/1/15,javascript,21335
11/1/15,python,12339
11/1/15,delphi,392
11/1/15,assembly,404
11/1/15,c,3625
11/1/15,c++,7107
11/1/15,c#,12430
11/1/15,perl,476
11/1/15,php,13431
11/1/15,ruby,1962
11/1/15,go,435
11/1/15,r,3547
11/1/15,swift,4331
12/1/15,java,16610
12/1/15,c#,12199
12/1/15,c++,6579
12/1/15,assembly,352
12/1/15,javascript,21156
12/1/15,delphi,314
12/1/15,c,3096
12/1/15,php,13878
12/1/15,perl,489
12/1/15,go,426
12/1/15,r,3184
12/1/15,python,11686
12/1/15,ruby,2031
12/1/15,swift,4391
1/1/16,assembly,248
1/1/16,delphi,318
